component,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.22078191318474463,0.22078191318474463
2,0.1437821168618923,0.36456403004663696
3,0.05414779132641872,0.4187118213730557
4,0.05196772256505864,0.47067954393811434
5,0.040331002197077255,0.5110105461351916
6,0.03087919556750691,0.5418897417026985
7,0.027899454257147533,0.5697891959598461
8,0.023265588785244685,0.5930547847450908
9,0.017765416939521054,0.6108202016846118
10,0.013425154054061115,0.6242453557386729
11,0.01174112757809057,0.6359864833167634
12,0.010472830856640407,0.6464593141734039
13,0.009351480745939755,0.6558107949193436
14,0.008663790856230773,0.6644745857755744
15,0.008189493104307275,0.6726640788798817
16,0.007498089851433694,0.6801621687313154
17,0.006743647367773082,0.6869058160990885
18,0.006647866198465289,0.6935536822975538
19,0.006432730235153351,0.6999864125327071
20,0.006133005559548281,0.7061194180922554
21,0.0055071055750545396,0.7116265236673099
22,0.005211697936799267,0.7168382216041093
23,0.0048012663988023655,0.7216394880029117
24,0.004657251539090616,0.7262967395420022
25,0.004611614761104764,0.730908354303107
26,0.004280620414096552,0.7351889747172036
27,0.004194534771162751,0.7393835094883663
28,0.004097109046292217,0.7434806185346585
29,0.004041521089317482,0.747522139623976
30,0.003843406397590378,0.7513655460215664
31,0.0037506006307979844,0.7551161466523644
32,0.003557437952311778,0.7586735846046762
33,0.0035491510705065953,0.7622227356751827
34,0.003490767102592338,0.7657135027777751
35,0.003358835105760783,0.7690723378835358
36,0.003305797968961288,0.772378135852497
37,0.003164353078453165,0.7755424889309502
38,0.003097687773966455,0.7786401767049167
39,0.003004703998137818,0.7816448807030545
40,0.0028831572909156066,0.7845280379939701
41,0.0028550058842027816,0.7873830438781728
42,0.0027409862098242734,0.7901240300879971
43,0.0027138186975709175,0.7928378487855681
44,0.0026071855606727076,0.7954450343462408
45,0.002490300870566842,0.7979353352168077
46,0.002460203562703009,0.8003955387795108
47,0.002412968875785384,0.8028085076552961
48,0.0023710694127589806,0.8051795770680551
49,0.002324899745661569,0.8075044768137166
50,0.002319697311852537,0.8098241741255692
51,0.002248677364482304,0.8120728514900515
52,0.0021973845144331967,0.8142702360044847
53,0.002123536577020301,0.8163937725815049
54,0.0020953010381531034,0.8184890736196581
55,0.00204629753108131,0.8205353711507394
56,0.0019949319857366613,0.822530303136476
57,0.0019722405347339903,0.82450254367121
58,0.0019485207069869694,0.8264510643781969
59,0.0018974358552404813,0.8283485002334374
60,0.0018417170594557091,0.8301902172928931
61,0.0018151961899903098,0.8320054134828834
62,0.0017893246082637565,0.8337947380911471
63,0.0017697672534294955,0.8355645053445766
64,0.0017298410436871806,0.8372943463882638
65,0.001680301033422192,0.838974647421686
66,0.0016573237568907756,0.8406319711785768
67,0.0016024414133558448,0.8422344125919327
68,0.0015796625208285627,0.8438140751127612
69,0.0015559095238207798,0.845369984636582
70,0.0015314495667101196,0.8469014342032921
71,0.0015042238709363372,0.8484056580742284
72,0.0015027832627918392,0.8499084413370203
73,0.0014628095093710423,0.8513712508463913
74,0.0014227507003920284,0.8527940015467833
75,0.0014057851171379147,0.8541997866639213
76,0.0013727566505712498,0.8555725433144925
77,0.00134595689438572,0.8569185002088783
78,0.0013396330906245723,0.8582581332995028
79,0.0013160258313155322,0.8595741591308184
80,0.0013040417265149087,0.8608782008573332
81,0.0012823604266222442,0.8621605612839555
82,0.00126791593079348,0.8634284772147489
83,0.0012609177384814499,0.8646893949532304
84,0.001233217890027909,0.8659226128432583
85,0.0012106960441106188,0.867133308887369
86,0.0011914618517867303,0.8683247707391557
87,0.0011794499623175843,0.8695042207014733
88,0.0011737783480193914,0.8706779990494926
89,0.0011356284314092077,0.8718136274809019
90,0.0011327417495415996,0.8729463692304434
91,0.0011146970687495295,0.874061066299193
92,0.001100041876392189,0.8751611081755852
93,0.0010792804178819315,0.8762403885934672
94,0.0010681786537036398,0.8773085672471709
95,0.0010540569011483827,0.8783626241483192
96,0.0010454218224221535,0.8794080459707414
97,0.0010219655152107444,0.8804300114859521
98,0.0010119403889256003,0.8814419518748777
99,0.0009939148139549614,0.8824358666888327
100,0.0009634504377972163,0.8833993171266299
101,0.0009584001474644106,0.8843577172740943
102,0.000946152329337926,0.8853038696034322
103,0.0009386662446183857,0.8862425358480506
104,0.0009317684989591423,0.8871743043470097
105,0.0009094358815959158,0.8880837402286056
106,0.0009040802810384544,0.8889878205096441
107,0.0008852184286291948,0.8898730389382733
108,0.0008738012212643546,0.8907468401595376
109,0.0008653868128674842,0.8916122269724052
110,0.0008605930484244957,0.8924728200208296
111,0.0008463734198224727,0.8933191934406521
112,0.0008331836207679461,0.89415237706142
113,0.0008234391327409108,0.894975816194161
114,0.0008223821242893897,0.8957981983184504
115,0.000817629283740412,0.8966158276021908
116,0.0008016752564522465,0.8974175028586431
117,0.0008005439841353923,0.8982180468427785
118,0.0007933734509010774,0.8990114202936795
119,0.0007834389051542728,0.8997948591988338
120,0.0007714635904061356,0.90056632278924
121,0.0007659257589270514,0.9013322485481671
122,0.0007597260808840489,0.9020919746290511
123,0.0007531223981811444,0.9028450970272323
124,0.0007446587277089832,0.9035897557549413
125,0.0007340445475386208,0.9043238003024799
126,0.0007268852635011745,0.9050506855659811
127,0.0007214546339967651,0.9057721401999779
128,0.0007087288133447889,0.9064808690133227
129,0.0006985580907501848,0.9071794271040728
130,0.0006966598438061699,0.907876086947879
131,0.0006843363096469728,0.908560423257526
132,0.0006795903208310743,0.909240013578357
133,0.0006650684287953754,0.9099050820071524
134,0.0006638880942252446,0.9105689701013776
135,0.0006605794999962265,0.9112295496013738
136,0.0006554011603892513,0.911884950761763
137,0.0006481256818089722,0.912533076443572
138,0.0006417101570528293,0.9131747866006248
139,0.0006368425497240847,0.9138116291503489
140,0.0006279418258343123,0.9144395709761832
141,0.0006251599043343106,0.9150647308805175
142,0.0006162047190842642,0.9156809355996018
143,0.0006126497521530444,0.9162935853517549
144,0.0006083511726638087,0.9169019365244186
145,0.0006020115181912079,0.9175039480426098
146,0.0005913844289093653,0.9180953324715192
147,0.0005843472092029175,0.9186796796807221
148,0.0005816501498467983,0.9192613298305689
149,0.0005750818416511564,0.91983641167222
150,0.0005642209090348387,0.9204006325812548
151,0.0005618621065769779,0.9209624946878318
152,0.0005601206727176447,0.9215226153605494
153,0.0005565897875038719,0.9220792051480532
154,0.0005517615979968564,0.92263096674605
155,0.0005457079625433553,0.9231766747085934
156,0.0005425862664003801,0.9237192609749938
157,0.0005356296499612122,0.924254890624955
158,0.0005321785497976656,0.9247870691747527
159,0.0005262207570722719,0.925313289931825
160,0.0005187058335804906,0.9258319957654055
161,0.0005127641846276004,0.9263447599500332
162,0.0005094249413894423,0.9268541848914226
163,0.0005033589817229048,0.9273575438731455
164,0.0005001284646858523,0.9278576723378313
165,0.0004972641334750049,0.9283549364713063
166,0.0004924791102939865,0.9288474155816003
167,0.0004871470216264313,0.9293345626032268
168,0.00048247586802694584,0.9298170384712537
169,0.0004760937253434051,0.9302931321965972
170,0.00047240827446438265,0.9307655404710615
171,0.0004709203136056383,0.9312364607846672
172,0.0004660834627755025,0.9317025442474427
173,0.0004591626599559259,0.9321617069073986
174,0.0004563080163076268,0.9326180149237062
175,0.00045456321432589937,0.9330725781380321
176,0.00045282176178731894,0.9335253998998194
177,0.0004472775554674818,0.9339726774552869
178,0.0004441555871155189,0.9344168330424024
179,0.0004405941769784655,0.9348574272193809
180,0.0004381954598414011,0.9352956226792223
181,0.0004346649027485169,0.9357302875819709
182,0.00043048877826041415,0.9361607763602313
183,0.00042542341794731903,0.9365861997781786
184,0.0004223454232705899,0.9370085452014492
185,0.00041733516922849527,0.9374258803706776
186,0.0004156174269918798,0.9378414977976696
187,0.00041234505796598807,0.9382538428556355
188,0.0004084084777572987,0.9386622513333928
189,0.00040332742269793263,0.9390655787560906
190,0.0004028243294072419,0.9394684030854978
191,0.0003977335121361855,0.9398661365976341
192,0.000396051695372034,0.9402621882930061
193,0.0003939126491204782,0.9406561009421266
194,0.0003904530831762081,0.9410465540253028
195,0.0003880705591427044,0.9414346245844455
196,0.00038112897655094585,0.9418157535609964
197,0.00037875681323658826,0.9421945103742331
198,0.0003767230355966381,0.9425712334098297
199,0.00037561794309948313,0.9429468513529292
200,0.0003743028262814818,0.9433211541792107
201,0.0003709274290233375,0.943692081608234
202,0.00036918772257176326,0.9440612693308058
203,0.0003662675600614766,0.9444275368908673
204,0.0003641308365846366,0.9447916677274519
205,0.00036109164028448826,0.9451527593677365
206,0.00035595352670840324,0.9455087128944448
207,0.00035370102546747285,0.9458624139199123
208,0.00034881410369604104,0.9462112280236084
209,0.0003483759210691501,0.9465596039446775
210,0.0003459547226477899,0.9469055586673253
211,0.00034418334719614734,0.9472497420145214
212,0.0003433516433253391,0.9475930936578467
213,0.00034038957439786133,0.9479334832322446
214,0.00033440700561458106,0.9482678902378592
215,0.00033280293337219295,0.9486006931712314
216,0.0003314307556255109,0.9489321239268569
217,0.00032876555958489195,0.9492608894864418
218,0.00032786526240961427,0.9495887547488514
219,0.0003240778403922418,0.9499128325892436
220,0.00032281025546529267,0.950235642844709
221,0.0003195969772293265,0.9505552398219382
222,0.00031704695481510315,0.9508722867767533
223,0.0003151655928817084,0.951187452369635
224,0.00031339465026383615,0.9515008470198988
225,0.00031048539949457565,0.9518113324193934
226,0.0003085561936044974,0.9521198886129979
227,0.0003042196356997102,0.9524241082486976
228,0.0003026129694618298,0.9527267212181595
229,0.0003014376615307785,0.9530281588796903
230,0.0003001791398044472,0.9533283380194947
231,0.00029709604962092483,0.9536254340691156
232,0.00029542957336028573,0.9539208636424759
233,0.00029342322233525113,0.9542142868648111
234,0.0002901112946900453,0.9545043981595012
235,0.00028794471248433135,0.9547923428719854
236,0.00028639571510236534,0.9550787385870878
237,0.0002848498368345554,0.9553635884239223
238,0.000280810781325705,0.955644399205248
239,0.00027966945541180687,0.9559240686606598
240,0.00027802120139528834,0.9562020898620551
241,0.00027620745133806793,0.9564782973133932
242,0.0002712092254961426,0.9567495065388893
243,0.00026932181307064753,0.95701882835196
244,0.0002686049977724959,0.9572874333497324
245,0.00026809546703658826,0.957555528816769
246,0.00026511488218473487,0.9578206436989537
247,0.00026352440784480476,0.9580841681067985
248,0.00026259839865566204,0.9583467665054541
249,0.0002620908286517394,0.9586088573341058
250,0.0002580793868191993,0.958866936720925
251,0.0002573747479255949,0.9591243114688507
252,0.0002561102664739115,0.9593804217353246
253,0.0002529499161072151,0.9596333716514318
254,0.00025185548650744343,0.9598852271379392
255,0.00025064617926932176,0.9601358733172085
256,0.0002498319064330332,0.9603857052236415
257,0.0002486946419346835,0.9606343998655762
258,0.0002473243597122498,0.9608817242252884
259,0.0002458891006929987,0.9611276133259814
260,0.00024390384535718252,0.9613715171713386
261,0.0002433915013664055,0.961614908672705
262,0.00024069857594354914,0.9618556072486486
263,0.00023885112828385266,0.9620944583769324
264,0.00023641241265165164,0.962330870789584
265,0.00023582569285219933,0.9625666964824362
266,0.00023411875331768832,0.9628008152357539
267,0.00023340786459355038,0.9630342231003475
268,0.00023171895341764275,0.9632659420537651
269,0.0002300685888715278,0.9634960106426367
270,0.00022965506085523277,0.9637256657034919
271,0.00022862498495769234,0.9639542906884496
272,0.00022563988213045427,0.96417993057058
273,0.00022504106916420089,0.9644049716397443
274,0.00022358739836092348,0.9646285590381052
275,0.0002228063803983829,0.9648513654185036
276,0.00022001637598970686,0.9650713817944933
277,0.0002191152846001274,0.9652904970790934
278,0.00021839323707591627,0.9655088903161694
279,0.00021734058849869143,0.965726230904668
280,0.0002151559326190271,0.965941386837287
281,0.00021215075807975268,0.9661535375953668
282,0.00021155770539722486,0.9663650953007641
283,0.0002104562302927077,0.9665755515310568
284,0.00020971359069374892,0.9667852651217506
285,0.00020692979439867012,0.9669921949161492
286,0.0002061830850313604,0.9671983780011806
287,0.00020486575037206782,0.9674032437515526
288,0.00020448939828330372,0.967607733149836
289,0.0002032615983961218,0.9678109947482321
290,0.00020115980925603205,0.9680121545574881
291,0.00020028863586969922,0.9682124431933579
292,0.00020007778364799017,0.9684125209770058
293,0.00019918908153520102,0.968611710058541
294,0.00019740388205377057,0.9688091139405948
295,0.0001953924580564555,0.9690045063986512
296,0.00019518087702845795,0.9691996872756796
297,0.00019305631199098664,0.9693927435876706
298,0.00019239719369314406,0.9695851407813637
299,0.00019164732045907147,0.9697767881018228
300,0.0001908250220410284,0.9699676131238638
301,0.0001897058064428362,0.9701573189303067
302,0.0001882978641247585,0.9703456167944314
303,0.00018605044560460966,0.970531667240036
304,0.00018503030536752853,0.9707166975454036
305,0.00018388961470389476,0.9709005871601075
306,0.0001836770852184073,0.9710842642453259
307,0.00018259845811604316,0.971266862703442
308,0.0001811254331127647,0.9714479881365548
309,0.0001806034987409309,0.9716285916352957
310,0.00017909300992236907,0.971807684645218
311,0.00017792598069322035,0.9719856106259113
312,0.0001774895633217254,0.972163100189233
313,0.0001759070602951343,0.9723390072495282
314,0.00017526944563971201,0.9725142766951679
315,0.00017481059000131236,0.9726890872851692
316,0.00017394270624513983,0.9728630299914144
317,0.0001722612039139655,0.9730352911953284
318,0.00017032006607124834,0.9732056112613996
319,0.0001697057808804688,0.9733753170422801
320,0.0001691606912379404,0.973544477733518
321,0.00016826444073845184,0.9737127421742565
322,0.00016667770826914806,0.9738794198825257
323,0.00016598496476297054,0.9740454048472886
324,0.00016438747255790055,0.9742097923198465
325,0.00016355790225490744,0.9743733502221014
326,0.00016175912941035839,0.9745351093515118
327,0.0001609078648256725,0.9746960172163375
328,0.00016039867458079519,0.9748564158909183
329,0.0001586569264763776,0.9750150728173947
330,0.0001575622962592345,0.9751726351136539
331,0.00015633039620752866,0.9753289655098615
332,0.00015576896819250108,0.975484734478054
333,0.00015485928806450603,0.9756395937661184
334,0.00015412556689602515,0.9757937193330144
335,0.0001528653795904205,0.9759465847126049
336,0.0001518471874884901,0.9760984319000934
337,0.00015104332059647825,0.9762494752206898
338,0.0001499687178134006,0.9763994439385032
339,0.000149290745769571,0.9765487346842727
340,0.00014835173967332114,0.976697086423946
341,0.00014800151152611645,0.9768450879354722
342,0.00014686167058605096,0.9769919496060583
343,0.0001465684534616845,0.97713851805952
344,0.00014506263467876302,0.9772835806941987
345,0.00014375259910164937,0.9774273332933003
346,0.00014330908002325548,0.9775706423733236
347,0.00014297315977765244,0.9777136155331012
348,0.00014130659405562075,0.9778549221271569
349,0.0001406006962149139,0.9779955228233718
350,0.00014039394157536991,0.9781359167649472
351,0.00013883205415081586,0.9782747488190979
352,0.00013797970486116836,0.9784127285239591
353,0.00013775245108376018,0.9785504809750428
354,0.00013699684823311375,0.9786874778232759
355,0.0001359775893371566,0.9788234554126131
356,0.00013514412945829748,0.9789585995420713
357,0.00013479248965523732,0.9790933920317265
358,0.00013412007747596634,0.9792275121092024
359,0.0001331566974036048,0.9793606688066061
360,0.00013215861290672795,0.9794928274195128
361,0.0001313514576010513,0.9796241788771138
362,0.00013062946175970518,0.9797548083388735
363,0.00012995876203180368,0.9798847671009053
364,0.0001294007798907677,0.9800141678807961
365,0.00012851827342184565,0.980142686154218
366,0.00012807763446355658,0.9802707637886815
367,0.00012691007173381392,0.9803976738604153
368,0.0001259647788996033,0.9805236386393149
369,0.00012580313125458236,0.9806494417705695
370,0.00012554109010215052,0.9807749828606716
371,0.00012386475496916035,0.9808988476156407
372,0.00012353496896180387,0.9810223825846025
373,0.00012318569123665008,0.9811455682758392
374,0.00012205877739763731,0.9812676270532369
375,0.00012181949500171915,0.9813894465482386
376,0.00012091693182318234,0.9815103634800617
377,0.00011974912764794871,0.9816301126077096
378,0.00011913349087626452,0.9817492460985858
379,0.0001182703679901143,0.981867516466576
380,0.00011787927808428192,0.9819853957446603
381,0.00011747763200069613,0.9821028733766609
382,0.00011643047979282185,0.9822193038564537
383,0.00011617168259749399,0.9823354755390512
384,0.00011565556993394755,0.9824511311089852
385,0.00011478926649179777,0.982565920375477
386,0.00011450148755414295,0.9826804218630311
387,0.00011411027749487426,0.9827945321405259
388,0.0001130646833990887,0.982907596823925
389,0.00011277974078077633,0.9830203765647058
390,0.00011161400071810944,0.9831319905654239
391,0.00011152487786382783,0.9832435154432877
392,0.00011057255432427894,0.9833540879976119
